positionName,salary,workYear,city,companyShortName,companySize,district,financeStage,industryField,thirdType,resumeProcessDay,resumeProcessRate
数据分析师(建模方向),20k-35k,5-10年,北京,瑞银信,2000人以上,朝阳区,不需要融资,"移动互联网,金融",建模,1,35
数据分析师（商业分析团队）,10k-15k,1-3年,北京,闪银奇异,500-2000人,朝阳区,D轮及以上,"移动互联网,金融",数据分析,1,47
数据分析师,15k-30k,不限,北京,PINTEC,150-500人,朝阳区,上市公司,"移动互联网,金融",数据分析,1,100
数据分析师,20K-40K,1-3年,北京,一览科技,150-500人,朝阳区,B轮,"移动互联网,文娱丨内容",数据分析,0,0
数据分析经理,15k-30k,5-10年,北京,自如网,2000人以上,朝阳区,A轮,房产家居,数据分析,1,100
数据分析师,20k-35k,3-5年,北京,百乘金科集团,2000人以上,朝阳区,上市公司,金融,数据分析,3,46
数据分析师（广告投放）,12k-18k,3-5年,北京,掌阅,500-2000人,朝阳区,上市公司,文娱丨内容,数据分析,0,0
数据分析师,15k-25k,1-3年,北京,猎豹移动,500-2000人,朝阳区,上市公司,"移动互联网,信息安全",数据分析,1,13
数据分析师,15k-25k,1-3年,北京,数美,150-500人,朝阳区,B轮,"企业服务,数据服务",数据分析,1,100
数据分析师,8k-15k,1-3年,北京,人民在线,150-500人,朝阳区,不需要融资,"数据服务,移动互联网",数据分析,0,0
数据分析师,15k-30k,1-3年,北京,妙健康,150-500人,朝阳区,C轮,移动互联网,数据分析,1,71
数据分析师,20k-35k,5-10年,北京,易观,150-500人,朝阳区,B轮,"移动互联网,数据服务",数据分析,1,67
数据分析师,15k-25k,1-3年,北京,有利网,2000人以上,朝阳区,不需要融资,金融,业务运营,1,79
数据分析师,17k-30k,5-10年,北京,喜马拉雅,500-2000人,朝阳区,D轮及以上,"移动互联网,文娱丨内容",数据分析,1,20
数据分析师,15k-25k,1-3年,北京,百乘金科集团,2000人以上,朝阳区,上市公司,金融,数据分析,1,100
数据分析师,10k-20k,1-3年,北京,和信贷,150-500人,朝阳区,上市公司,金融,数据分析,0,0
数据分析（HRBI）,16k-30k,5-10年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,BI,0,0
数据分析师,10k-20k,3-5年,北京,美住,500-2000人,朝阳区,A轮,"消费生活,电商",数据分析,1,9
数据分析师,15k-25k,1-3年,北京,PINTEC,150-500人,朝阳区,上市公司,"移动互联网,金融",数据分析,1,60
数据分析师,15k-20k,1-3年,北京,火花思维,500-2000人,朝阳区,C轮,"移动互联网,教育",数据分析,2,64
数据分析师,10k-15k,5-10年,北京,造作,150-500人,朝阳区,B轮,"消费生活,电商",数据分析,2,8
数据分析师（数据产品开发与建模）,15k-30k,3-5年,北京,天创信用,150-500人,朝阳区,B轮,"移动互联网,金融",数据分析,1,16
数据分析师-用户增长方向,18k-35k,3-5年,北京,雪球,150-500人,朝阳区,D轮及以上,金融,数据分析,1,100
数据分析师,8k-10k,不限,北京,人民在线,150-500人,朝阳区,不需要融资,"数据服务,移动互联网",数据分析,0,0
大数据分析师,15k-22k,1-3年,北京,码上赢,50-150人,朝阳区,A轮,"移动互联网,企业服务",数据分析,1,100
数据分析师,15k-20k,1-3年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,3,100
数据分析师,10k-20k,1-3年,北京,源梦伟业,50-150人,朝阳区,未融资,"移动互联网,数据服务",数据分析,0,0
数据分析,10k-20k,不限,北京,瑞银信,2000人以上,朝阳区,不需要融资,"移动互联网,金融",数据分析,1,35
数据分析师,15k-25k,3-5年,北京,和信贷,150-500人,朝阳区,上市公司,金融,数据分析,0,0
数据分析师,15k-25k,1-3年,北京,逍遥志科技,15-50人,朝阳区,A轮,"移动互联网,金融",数据分析,2,8
大数据分析师,10k-20k,不限,北京,泛钛客,150-500人,朝阳区,A轮,"金融,数据服务",数据分析,1,9
数据分析师,15k-25k,3-5年,北京,V.FINE MUSIC,50-150人,朝阳区,A轮,"企业服务,文娱丨内容",数据分析,0,0
数据分析（资金方向）,15k-25k,1-3年,北京,美利金融,2000人以上,朝阳区,B轮,金融,分析师,3,3
数据分析师,15k-25k,3-5年,北京,掌阅,500-2000人,朝阳区,上市公司,文娱丨内容,数据分析,0,0
数据分析师,15k-25k,1-3年,北京,VIPKID,2000人以上,朝阳区,D轮及以上,教育,数据分析,3,5
数据分析专员,5k-10k,1年以下,北京,玖富数科集团,2000人以上,朝阳区,D轮及以上,金融,数据分析,1,44
数据分析师,20k-40k,3-5年,北京,信产集团,2000人以上,朝阳区,不需要融资,"移动互联网,电商",数据分析,1,100
数据分析师,13k-20k,1-3年,北京,北京链家,2000人以上,朝阳区,不需要融资,房产家居,其他数据分析,1,25
数据分析师,30k-40k,5-10年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,0,0
数据分析师,18k-35k,3-5年,北京,每日优鲜,2000人以上,朝阳区,D轮及以上,"移动互联网,电商",数据分析,0,0
数据分析师,10k-20k,1-3年,北京,她理财,50-150人,朝阳区,A轮,金融,数据分析,1,100
数据分析师,15k-20k,1-3年,北京,凤凰网,2000人以上,朝阳区,上市公司,文娱丨内容,数据分析,2,100
数据分析师,10k-20k,3-5年,北京,信产集团,2000人以上,朝阳区,不需要融资,"移动互联网,电商",数据分析,0,0
数据分析师,20k-30k,3-5年,北京,宝宝树,500-2000人,朝阳区,D轮及以上,社交,数据分析,1,70
数据分析师,15k-30k,1-3年,北京,快看漫画,150-500人,朝阳区,D轮及以上,文娱丨内容,数据分析,1,100
数据科学家 - 数据分析,30k-50k,3-5年,北京,Airbnb,2000人以上,朝阳区,D轮及以上,移动互联网,数据分析,1,62
数据分析师,20k-30k,3-5年,北京,百信银行,150-500人,朝阳区,不需要融资,金融,数据分析,0,0
数据分析师,12k-20k,1-3年,北京,DataStory,150-500人,朝阳区,B轮,数据服务,数据分析,2,100
数据分析专家,20k-40k,5-10年,北京,玖富数科集团,2000人以上,朝阳区,D轮及以上,金融,商业,1,44
数据分析师,15k-25k,3-5年,北京,人人公司,2000人以上,朝阳区,上市公司,"社交,金融",数据分析,1,17
数据分析师(J10177),10k-20k,1-3年,北京,包银消费金融,150-500人,朝阳区,不需要融资,金融,分析师,1,94
数据分析师,10k-20k,1-3年,北京,天创信用,150-500人,朝阳区,B轮,"移动互联网,金融",数据分析,1,16
数据分析师,12k-22k,1-3年,北京,皇包车,150-500人,朝阳区,C轮,"移动互联网,旅游",数据分析,1,100
数据分析师（业务支持）,10k-15k,1-3年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,3,100
数据分析师（北京）,8k-15k,1-3年,北京,高登世德金融科技,50-150人,朝阳区,A轮,"金融,数据服务",数据分析,0,0
数据分析,8k-12k,1-3年,北京,洛客科技,150-500人,朝阳区,不需要融资,移动互联网,数据分析,2,54
数据分析师-增长方向,15k-30k,3-5年,北京,美柚,500-2000人,朝阳区,D轮及以上,移动互联网,数据分析,3,100
数据分析师,15k-25k,1-3年,北京,玖富数科集团,2000人以上,朝阳区,D轮及以上,金融,数据分析,1,14
数据分析,15k-30k,1-3年,北京,每日优鲜,2000人以上,朝阳区,D轮及以上,"移动互联网,电商",数据分析,0,0
数据分析师（互金行业背景）,15k-30k,3-5年,北京,生日管家,150-500人,朝阳区,B轮,"移动互联网,电商",业务运营,1,100
数据分析师,15k-20k,3-5年,北京,papitube,50-150人,朝阳区,A轮,"文娱丨内容,移动互联网",数据分析,0,0
数据分析工程师,20k-40k,1-3年,北京,数美,150-500人,朝阳区,B轮,"企业服务,数据服务",数据分析,1,100
数据分析师,10k-20k,不限,北京,皇包车,150-500人,朝阳区,C轮,"移动互联网,旅游",数据分析,1,100
数据分析师,10k-15k,不限,北京,完美世界,2000人以上,朝阳区,上市公司,"移动互联网,游戏",数据分析,0,0
数据分析经理（用户）,15k-30k,5-10年,北京,VIPKID,2000人以上,朝阳区,D轮及以上,教育,数据分析,0,0
数据分析师 (MJ000043),15k-25k,1-3年,北京,小帮规划,150-500人,朝阳区,B轮,"移动互联网,金融",数据分析,2,48
数据分析（贷前 贷中）,12k-17k,3-5年,北京,和信集团,2000人以上,朝阳区,不需要融资,金融,数据分析,0,0
数据分析专员,8k-10k,1-3年,北京,百乘金科集团,2000人以上,朝阳区,上市公司,金融,数据分析,1,100
数据分析师,15k-30k,3-5年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,3,100
数据分析师-BI,10k-20k,3-5年,北京,e代驾,500-2000人,朝阳区,D轮及以上,"移动互联网,消费生活",数据分析,0,0
初级数据分析师,7k-13k,1-3年,北京,洋葱数学,500-2000人,朝阳区,D轮及以上,教育,数据分析,1,94
数据分析师,20k-40k,5-10年,北京,欧拉网络,50-150人,朝阳区,C轮,移动互联网,数据分析,0,0
数据分析师,15k-25k,3-5年,北京,唯医网,150-500人,朝阳区,B轮,医疗健康,数据分析,1,100
高级数据分析师,30k-50k,5-10年,北京,百信银行,150-500人,朝阳区,不需要融资,金融,数据分析,0,0
数据分析工程师,20k-40k,3-5年,北京,奇虎360金融,500-2000人,朝阳区,上市公司,金融,数据分析,0,0
数据分析师,15k-25k,1-3年,北京,宜信,2000人以上,朝阳区,上市公司,金融,数据分析,0,0
数据分析师,15k-25k,1-3年,北京,洋钱罐,150-500人,朝阳区,不需要融资,"移动互联网,金融",数据分析,0,0
数据分析专员,8k-10k,1-3年,北京,百乘金科集团,2000人以上,朝阳区,上市公司,金融,数据分析,3,46
数据分析工程师,15k-25k,3-5年,北京,人人公司,2000人以上,朝阳区,上市公司,"社交,金融",数据分析,1,8
数据分析专家,25k-35k,5-10年,北京,墨迹天气,150-500人,朝阳区,不需要融资,工具,数据分析,2,41
数据分析经理,15k-20k,3-5年,北京,DataStory,150-500人,朝阳区,B轮,数据服务,数据分析,2,100
资深数据分析师,20k-40k,3-5年,北京,区块节点,50-150人,朝阳区,不需要融资,移动互联网,数据分析,1,70
数据分析师（智能出行方向）,15k-25k,1-3年,北京,嘀嗒出行,150-500人,朝阳区,D轮及以上,汽车丨出行,数据分析,2,100
数据分析（业务策略）,20k-30k,3-5年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,2,90
数据分析师（风控方向）,15k-25k,1-3年,北京,嘀嗒出行,150-500人,朝阳区,D轮及以上,汽车丨出行,数据分析,2,100
高级数据分析师,20k-35k,5-10年,北京,闪银奇异,500-2000人,朝阳区,D轮及以上,"移动互联网,金融",数据分析,1,100
数据分析专员,8k-12k,1-3年,北京,52TOYS,50-150人,朝阳区,A轮,"游戏,广告营销",数据分析,0,0
数据分析师（数据产品方向）,8k-15k,1-3年,北京,网信,500-2000人,朝阳区,不需要融资,"金融,移动互联网",数据分析,0,0
高级数据分析师,25k-35k,5-10年,北京,达令家,150-500人,朝阳区,D轮及以上,电商,数据分析,1,77
高级数据分析师,15k-30k,3-5年,北京,洋葱数学,500-2000人,朝阳区,D轮及以上,教育,数据分析,1,94
数据分析工程师,15k-30k,1-3年,北京,洋钱罐,150-500人,朝阳区,不需要融资,"移动互联网,金融",数据分析,0,6
数据分析师,18k-30k,5-10年,北京,玖富数科集团,2000人以上,朝阳区,D轮及以上,金融,数据分析,0,0
数据分析师/商业分析师,18k-28k,不限,北京,车好多集团,2000人以上,朝阳区,D轮及以上,消费生活,数据分析,1,4
高级数据分析师,15k-30k,3-5年,北京,雪球,150-500人,朝阳区,D轮及以上,金融,数据分析,2,100
高级数据分析师,18k-30k,3-5年,北京,震坤行,500-2000人,朝阳区,D轮及以上,电商,数据分析,1,90
高级数据分析师,20k-30k,3-5年,北京,Esri 中国,150-500人,朝阳区,未融资,"企业服务,数据服务",数据分析,1,100
高级数据分析师,20k-35k,5-10年,北京,瑞银信,2000人以上,朝阳区,不需要融资,"移动互联网,金融",数据分析,1,35
数据分析专员,7k-10k,1年以下,北京,笔记侠,15-50人,朝阳区,A轮,移动互联网,数据运营,1,8
数据分析师,10k-20k,3-5年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,0,0
BI数据分析师/数据分析专家/数据分析高级专家,25k-50k,3-5年,北京,车好多集团,2000人以上,朝阳区,D轮及以上,消费生活,BI,1,100
数据分析决策岗（风险管理部）,15k-25k,3-5年,北京,阳光产险信保事业部,2000人以上,朝阳区,不需要融资,金融,数据分析,1,100
数据分析专家,20k-35k,5-10年,北京,Paytm,2000人以上,朝阳区,不需要融资,"电商,移动互联网",数据分析,0,100
数据分析专员,8k-15k,1-3年,北京,小牛互联,15-50人,朝阳区,不需要融资,移动互联网,数据分析,1,100
数据分析师-北京,9k-18k,不限,北京,久谦咨询,50-150人,朝阳区,未融资,"企业服务,数据服务",数据分析,0,0
数据分析,7k-14k,1年以下,北京,北京盛业恒泰投资有限公司,150-500人,朝阳区,不需要融资,"移动互联网,金融",分析师,1,34
数据分析师-用户方向,10k-20k,3-5年,北京,同程艺龙,2000人以上,朝阳区,上市公司,旅游,数据分析,0,0
数据分析师-社会化媒体-北京,6k-8k,不限,北京,AdMaster,500-2000人,朝阳区,不需要融资,数据服务,商业数据分析,0,0
高级数据分析师,25k-40k,3-5年,北京,ZRobot,50-150人,朝阳区,未融资,"数据服务,企业服务",数据分析,2,100
数据分析专员,9k-11k,不限,北京,papitube,50-150人,朝阳区,A轮,"文娱丨内容,移动互联网",数据分析,0,0
数据分析Leader,35k-45k,5-10年,北京,VIPKID,2000人以上,朝阳区,D轮及以上,教育,数据分析,0,0
高级数据分析师,20k-40k,3-5年,北京,探探,150-500人,朝阳区,D轮及以上,"移动互联网,社交",数据分析,1,85
高级数据分析师,25k-30k,5-10年,北京,Plum,150-500人,朝阳区,B轮,"电商,消费生活",数据分析,1,1
高级数据分析师,18k-25k,3-5年,北京,洋葱数学,500-2000人,朝阳区,D轮及以上,教育,商业数据分析,2,100
【外卖】产品运营-数据分析方向,15k-30k,3-5年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,其他运营,0,0
数据分析总监-北京-04771,20k-26k,5-10年,北京,龙图游戏,500-2000人,朝阳区,不需要融资,游戏,数据分析,1,100
高级数据分析师,18k-35k,5-10年,北京,考虫网,150-500人,朝阳区,D轮及以上,教育,数据分析,1,100
初级数据分析师,12k-18k,不限,北京,Magic Tavern,150-500人,朝阳区,不需要融资,游戏,数据分析,0,0
数据分析师,30k-50k,5-10年,北京,罗辑思维,150-500人,朝阳区,D轮及以上,"移动互联网,文娱丨内容",数据分析,2,100
高级数据分析师,20k-40k,5-10年,北京,亿咖通科技,500-2000人,朝阳区,不需要融资,"移动互联网,硬件",数据分析专家,2,23
数据分析实习生,2k-4k,应届毕业生,北京,小红书,500-2000人,朝阳区,D轮及以上,消费生活,数据分析,2,100
数据分析师（校招）,10k-20k,应届毕业生,北京,数美,150-500人,朝阳区,B轮,"企业服务,数据服务",数据分析,1,100
09216M-数据分析师,15k-20k,3-5年,北京,平安健康保险,500-2000人,朝阳区,未融资,金融,产品经理,0,0
数据分析专员 (MJ001731),15k-22k,1-3年,北京,作业盒子,500-2000人,朝阳区,C轮,教育,数据分析,0,9
数据分析总监(北京),45k-60k,10年以上,北京,薛家庄旅游开发,50-150人,朝阳区,不需要融资,"旅游,文娱丨内容",数据挖掘,0,0
市场数据分析师,10k-20k,1-3年,北京,自如网,2000人以上,朝阳区,A轮,房产家居,数据分析,1,100
数据分析师,13k-20k,1-3年,北京,智美新媒,50-150人,朝阳区,D轮及以上,"广告营销,移动互联网",数据分析,2,78
资深数据分析师,30k-45k,5-10年,北京,58到家,2000人以上,朝阳区,D轮及以上,消费生活,数据分析,0,0
数据分析师（产品）,18k-35k,1-3年,北京,陌陌,500-2000人,朝阳区,上市公司,社交,数据分析,1,100
数据分析主管,15k-30k,3-5年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,3,100
数据分析总监,40k-70k,10年以上,北京,薛家庄旅游开发,50-150人,朝阳区,不需要融资,"旅游,文娱丨内容",数据挖掘,0,0
高级数据分析师,25k-30k,3-5年,北京,Magic Tavern,150-500人,朝阳区,不需要融资,游戏,数据分析,0,0
资深数据分析师,20k-40k,3-5年,北京,V8实拍,150-500人,朝阳区,B轮,移动互联网,数据分析,0,6
数据分析岗,20k-40k,3-5年,北京,京东集团,2000人以上,朝阳区,上市公司,电商,数据分析,3,63
数据分析负责人,50k-65k,5-10年,北京,映客,500-2000人,朝阳区,上市公司,文娱丨内容,数据分析,1,100
数据分析工程师,20k-35k,5-10年,北京,巅峰同道,50-150人,朝阳区,B轮,"金融,移动互联网",数据分析,1,45
数据分析师,10k-20k,3-5年,北京,平安健康保险,500-2000人,朝阳区,未融资,金融,数据分析,1,27
数据分析师,20k-35k,5-10年,北京,泰康之家,2000人以上,朝阳区,不需要融资,"金融,医疗丨健康",数据分析,2,58
数据分析师,15k-25k,3-5年,北京,淡蓝网Blued,150-500人,朝阳区,D轮及以上,"移动互联网,社交",数据分析,2,30
商业化数据分析师,20k-40k,不限,北京,车好多集团,2000人以上,朝阳区,D轮及以上,消费生活,数据分析,1,4
高级/资深数据分析师,15k-30k,3-5年,北京,同程艺龙,2000人以上,朝阳区,上市公司,旅游,商业数据分析,0,0
高级数据分析师,20k-35k,3-5年,北京,达令家,150-500人,朝阳区,D轮及以上,电商,数据分析,0,0
高级数据分析师,20k-38k,5-10年,北京,VIPKID,2000人以上,朝阳区,D轮及以上,教育,数据分析,0,0
数据分析师,20k-35k,5-10年,北京,360,2000人以上,朝阳区,上市公司,信息安全,数据分析,0,0
【外卖配送】数据分析专家,15k-25k,5-10年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,其他数据分析,0,0
数据分析工程师,20k-35k,5-10年,北京,巅峰同道,50-150人,朝阳区,B轮,"金融,移动互联网",数据分析,1,45
数据分析负责人（总监）,45k-60k,5-10年,北京,映客,500-2000人,朝阳区,上市公司,文娱丨内容,数据分析,2,100
流量方向资深数据分析师,20k-40k,3-5年,北京,车好多集团,2000人以上,朝阳区,D轮及以上,消费生活,数据分析,1,100
数据分析师,15k-25k,3-5年,北京,前线科技,150-500人,朝阳区,天使轮,"移动互联网,金融",数据分析,0,0
数据分析,30k-40k,3-5年,北京,Maersk,2000人以上,朝阳区,上市公司,电商,数据分析,0,0
数据分析师（应届生）,6k-10k,不限,北京,柏睿数据,50-150人,朝阳区,B轮,"数据服务,信息安全",数据分析,2,70
数据分析师（反作弊策略/市场投放分析）,18k-35k,3-5年,北京,陌陌,500-2000人,朝阳区,上市公司,社交,数据分析,1,100
大数据分析师,15k-25k,3-5年,北京,Synnex China,500-2000人,朝阳区,上市公司,电商,数据分析,0,0
数据分析高级经理,20k-30k,5-10年,北京,有利网,2000人以上,朝阳区,不需要融资,金融,数据分析,1,100
数据分析专家,25k-40k,3-5年,北京,360,2000人以上,朝阳区,上市公司,信息安全,数据分析,0,0
商业数据分析师,20k-40k,3-5年,北京,GrowingIO,150-500人,朝阳区,B轮,"企业服务,数据服务",数据分析,2,100
商业数据分析师,20k-40k,3-5年,北京,Airbnb,2000人以上,朝阳区,D轮及以上,移动互联网,数据分析,1,62
数据分析师,25k-45k,3-5年,北京,广州市动景计算机科技有限公司,2000人以上,朝阳区,不需要融资,工具,数据分析,0,0
数据分析师,15k-25k,5-10年,北京,欧思其,150-500人,朝阳区,不需要融资,"企业服务,汽车丨出行",数据分析,0,0
高级数据分析,10k-20k,3-5年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,其他运营,0,0
高级数据分析师／Leader,25k-35k,5-10年,北京,映客,500-2000人,朝阳区,上市公司,文娱丨内容,数据分析,2,100
数据分析经理（商业）,15k-30k,3-5年,北京,陌陌,500-2000人,朝阳区,上市公司,社交,数据分析,1,100
数据分析专家,20k-35k,5-10年,北京,360,2000人以上,朝阳区,上市公司,信息安全,数据分析,2,75
财新收费板块数据分析师,20k-40k,5-10年,北京,财新传媒,150-500人,朝阳区,A轮,文娱丨内容,数据分析,0,0
数据分析,15k-25k,3-5年,北京,微店,500-2000人,朝阳区,C轮,电商,数据分析,0,0
数据分析产品经理,20k-40k,3-5年,北京,阿里巴巴-高德,2000人以上,朝阳区,上市公司,工具,数据分析,1,14
数据助理 / 数据分析实习生,3k-4k,应届毕业生,北京,泛博瑞,50-150人,朝阳区,不需要融资,数据服务,其他数据分析,4,26
数据分析师,8k-15k,3-5年,北京,华壹信融,150-500人,朝阳区,未融资,金融,数据分析,0,0
数据分析师（电商、零售方向）,10k-20k,1-3年,北京,欧特欧咨询,15-50人,朝阳区,不需要融资,"移动互联网,电商",数据分析,3,10
数据分析师,11k-16k,1-3年,北京,CGTN,150-500人,朝阳区,不需要融资,移动互联网,数据分析,0,0
数据分析师,24k-25k,3-5年,北京,魔力方科技,50-150人,朝阳区,不需要融资,"企业服务,电商",数据分析,0,0
数据分析,6k-12k,不限,北京,北京盛业恒泰投资有限公司,150-500人,朝阳区,不需要融资,"移动互联网,金融",数据分析,1,100
BI-数据分析高级专家10653,25k-50k,5-10年,北京,车好多集团,2000人以上,朝阳区,D轮及以上,消费生活,数据分析,3,47
数据分析师,15k-30k,5-10年,北京,睦邻企业管理服务（北京）有限公司,2000人以上,朝阳区,不需要融资,消费生活,数据分析,0,0
服务体验部-资深数据分析师,15k-24k,3-5年,北京,美团点评,2000人以上,朝阳区,上市公司,消费生活,数据分析,0,0
资深数据分析师,25k-40k,5-10年,北京,360,2000人以上,朝阳区,上市公司,信息安全,数据分析,0,0
数据分析师（数据产品方向）,20k-40k,3-5年,北京,陌陌,500-2000人,朝阳区,上市公司,社交,数据分析,1,100
数据分析挖掘,30k-50k,3-5年,北京,索信达数据,150-500人,朝阳区,上市公司,人工智能,数据挖掘,1,100
数据分析师,15k-30k,1-3年,北京,马上金融,2000人以上,朝阳区,不需要融资,"金融,移动互联网",风控,0,0
数据分析高经/专家,30k-50k,不限,北京,美菜网,2000人以上,朝阳区,D轮及以上,电商,数据分析,3,100
数据分析师,5k-10k,1-3年,北京,多多喵,50-150人,朝阳区,天使轮,"移动互联网,电商",数据分析,0,0
数据分析师/科学家,28k-45k,3-5年,北京,卓尔电商集团,500-2000人,朝阳区,上市公司,"电商,金融",数据分析,0,0
数据分析师,25k-45k,3-5年,北京,广州市动景计算机科技有限公司,2000人以上,朝阳区,不需要融资,工具,数据分析,0,0
数据分析实习生,4k-8k,应届毕业生,北京,Max+&小黑盒,50-150人,朝阳区,A轮,游戏,数据分析,1,100
课程数据分析专员,6k-9k,1年以下,北京,笔记侠,15-50人,朝阳区,A轮,移动互联网,数据运营,1,8
数据分析师,15k-30k,3-5年,北京,萌宝科技,50-150人,朝阳区,不需要融资,"移动互联网,文娱丨内容",数据运营,0,0
数据分析产品经理,20k-40k,3-5年,北京,阿里巴巴-高德,2000人以上,朝阳区,上市公司,工具,数据分析,1,14
数据分析专员（业务方向）,10k-15k,3-5年,北京,黄豆伟业,150-500人,朝阳区,不需要融资,"电商,移动互联网",数据运营,1,3
数据分析师/助理,6k-8k,不限,北京,华壹信融,150-500人,朝阳区,未融资,金融,证券分析师,1,100
数据分析师,13k-19k,1-3年,北京,马上金融,2000人以上,朝阳区,不需要融资,"金融,移动互联网",商业数据分析,0,0
